FIPS2,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
F16019,92.32,12.5,18.21,3.03,2.92
F16021,92.17,20.3,22.69,2.88,2.73
F16023,91.79,17.6,15.74,3.05,3.15
F16025,82.83,9.6,12.03,,
F16027,86.27,12.5,15.57,3.01,2.85
F16029,90.58,11.9,9.77,2.97,2.82
F16031,84.93,12.5,14.87,3,3.01
F16033,64.18,20.2,4.39,,
F16035,91.87,23.6,10.41,3.08,3.32
F16037,89.23,19.3,8.68,,
F16039,90.61,15.5,22.93,2.76,2.71
F16041,91.71,9.7,4.28,3.17,3.2
F16043,88.61,17,11.01,2.9,2.93
F16045,87.36,15.6,21.49,2.66,2.64
F16047,80.49,16.5,19.79,2.57,2.5
F16049,92.21,18.5,11.26,2.94,3.07
F16051,91.15,9.8,7.74,2.86,2.97
F16053,78.22,15.3,19.04,2.67,2.63
F16055,93.96,9.9,17.33,3.28,3.2
F16057,96.4,10.7,11.26,3.39,3.39
F16059,92.03,22.3,14.82,2.91,2.81
F16061,89.07,19.5,16.59,2.89,3.12
F16063,79.09,15.7,23.5,2.7,2.88
F16065,95.38,10.5,5.89,3.18,
F16067,77.95,19,18.09,2.96,2.9
F16069,92.67,12.7,21.82,2.94,2.91
F16071,90.77,12.5,8.02,2.92,3.09
F16073,74.76,19.2,22.21,2.52,2.59
F16075,86.55,14.4,14.42,2.87,2.76
F16077,79.86,16.8,14.99,3.24,2.98
