FIPS,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
13147,82.77,22,15.91,3.007245913,2.773918464
13149,81.88,21.2,25.94,3.376677167,3.033036828
13151,91.77,13.1,28.45,2.761177794,2.645395534
13153,92.56,15.6,26.07,3.119536581,2.963666751
13155,81.2,30.9,30.48,2.927155503,2.863969795
13157,85.34,11.4,17.61,3.252153794,3.216435028
13159,85.08,21.6,27.72,2.774578193,2.45216133
13161,78.4,29.4,31.32,3.026344772,2.843398179
13163,78.49,33.1,46.07,2.40585746,2.403708414
13165,78.14,35.7,53.45,2.929538854,2.832648673
13167,74.04,30.7,39.93,2.872301942,2.829454462
13169,91.69,16.6,26.13,3.102896662,2.876266996
13171,87.2,20.9,26.27,3.154963349,3.007501422
13173,84.94,31.9,21.64,3.071281558,3.049296461
13175,86.28,31,40.3,2.831152619,2.889291497
13177,92.16,14.7,22.51,3.292656362,3.635479686
13179,91.85,22.6,33.5,2.939077578,2.749814666
13181,84.58,27.5,38.22,3.107265238,3.119485529
13183,86.02,23.5,33.67,2.981342658,2.877839021
13185,88.3,27.3,35.82,3.014630283,2.890576878
13187,86,16.2,19.25,3.175471057,3.188710191
13189,84.42,27.8,54.25,2.570982892,2.627202661
13191,86.5,32,19.6,2.475971303,2.564211899
13193,72.33,38,59.85,2.441665688,2.06041256
13195,83.3,19.7,34.84,3.264031525,3.215898625
13197,79.95,31.8,25.9,2.916556077,2.506415759
13199,81.46,33.3,44.07,2.659524392,2.541719767
13201,85.36,29,28.18,2.674264796,2.674391318
13205,79.95,50.1,49.6,2.765391025,2.800438442
13207,86.85,17.9,21.2,3.310524587,3.005893184
13209,83.33,26,25.01,2.701374553,2.661764789
13211,88.74,18.1,20.06,3.12146656,3.151431886
13213,72.27,23.3,23.85,2.835200524,2.88560644
13215,88.15,29.8,41.81,2.791578394,2.461035406
13217,87.14,21.4,27.68,2.915210704,2.629946101
13219,94.93,6.8,16.32,3.643024882,3.633076886
13221,83.5,20.6,30.29,3.031608673,3.265777819
13223,90.47,9.9,17.91,3.123093626,2.953256603
13225,84.4,28.6,33.97,2.820368477,2.623327153
13227,87.53,18,14.68,3.038057566,3.09059568
13229,84,24,31.01,3.366032708,3.510504307
